Sample	Exonic	Intronic	Intergenic
HK024_0065_R1	0.939909	0.0230535	0.0266797
HK028_0073_R1	0.953625	0.0190849	0.0180238
HK044_0109_R1	0.953832	0.023436	0.0128452
HK069-0177_2	0.949214	0.0213219	0.00918939
HK072-001_2	0.946609	0.0201159	0.0110229
HK085-001_R1	0.943253	0.0319532	0.0110605
HK088-001_2	0.951859	0.0239128	0.0101412
HK101-001_R1	0.953173	0.0193717	0.0159235
HK106-001_R1	0.946231	0.0212126	0.0217629
ICCV_458_10CC06258_02	0.93405	0.031107	0.013976
INMR_GB_408_R1	0.881894	0.0674043	0.0264367
INMR_GI_456_R1	0.922213	0.0409168	0.0171831
INMR_HW_389_R1	0.875701	0.0729147	0.0240378
INMR_HZ_401_R1	0.911328	0.0479593	0.0193904
INMR_IG_561_R1	0.897913	0.0575284	0.0216104
INMR_IK_581_R1	0.852345	0.0893886	0.0323958
INMR_IV_615_R1	0.902039	0.0610557	0.0196196
K1157-1-4	0.910965	0.0386995	0.029659
LIA_EDW01_1	0.931852	0.0282136	0.0236221
LIA_MAS02_2	0.892447	0.0526353	0.0337733
LIA_TIS03_2	0.874292	0.0779948	0.0283072
MAN_0063_01_02	0.90151	0.0554502	0.0200146
MAN_0063_01_03	0.8326	0.0798826	0.0466216
MAN_1001_01_M1_D1	0.944777	0.0236369	0.0144437
MAN_1438-01-M1_R1	0.92779	0.0370402	0.0179653
MBEL028_001_3	0.957299	0.0181459	0.00890255
MBEL028_002_1	0.959423	0.0145728	0.00925047
MBRU030_2	0.950486	0.023967	0.0114002
MCOP008_001_2	0.949077	0.020304	0.00947867
MESP014_2	0.889566	0.0608356	0.0329501
MESP021_001_2	0.957315	0.0165179	0.00966207
MESP039_2	0.951163	0.0198103	0.0107738
MGLA003_001_2	0.9576	0.0157667	0.00887008
MMAD002_001_2	0.955305	0.0165414	0.0100285
MTEH041_001_2	0.937501	0.0316791	0.0125878
MUN_FAM1_CTRL_01_R1	0.901047	0.0594379	0.0176162
MUN_FAM1_CTRL_02_R1	0.939366	0.0213481	0.0221111
MUN_FAM1_CTRL_03_R1	0.895563	0.0654788	0.0173399
MUN_FAM1_CTRL_04_R1	0.917708	0.0291189	0.0348387
MUN_FAM2_TOTALMDC1A1_02_R1	0.857879	0.0937906	0.0204892
MUN_FAM2_TOTALMDC1A1_03_R1	0.887714	0.0520249	0.0425526
MUN_FAM2_TOTALMDC1A1_04_R1	0.844166	0.107049	0.0214113
MUN_FAM2_TOTALMDC1A1_05_R1	0.918956	0.0437128	0.017087
MUN_FAM3_PARTIALMDC1A1_01_R1	0.897988	0.0625184	0.0162038
MUN_FAM3_PARTIALMDC1A1_02_R1	0.89443	0.0642045	0.0200997
MUN_FAM3_PARTIALMDC1A1_03_R1	0.862511	0.0915303	0.0191445
MUN_FAM3_PARTIALMDC1A1_05_R1	0.928789	0.03163	0.0235266
MUN_FAM4_ATYPICALMDC1A_01_R1	0.894748	0.0638664	0.0201092
MUN_FAM4_ATYPICALMDC1A_01_R2	0.897361	0.050853	0.0319142
MUN_FAM4_ATYPICALMDC1A_01_R3	0.898294	0.0544925	0.0273064
MUN_FAM5_SIBLINGMDC1A_01_R1	0.899406	0.0609485	0.0192151
MUN_FAM5_SIBLINGMDC1A_01_R2	0.90511	0.0581732	0.0171193
MUN_FAM5_SIBLINGMDC1A_01_R3	0.895903	0.0624395	0.021644
M_0146-01-H1	0.876885	0.068782	0.0185477
NH11-441	0.908903	0.0532457	0.0188779
NH12-1413	0.905032	0.0531597	0.0220999
NH12-843_Fibroblasts	0.908966	0.0454264	0.0317423
NH12-843_MyoD_Day5	0.88174	0.0623552	0.0367113
OUN_HK018_0047_R1	0.921524	0.0351542	0.0270856
OUN_HK047_0116_R1	0.94844	0.0190009	0.0134212
OUN_HK079_001_R1	0.950591	0.0152071	0.0156903
OUN_HK080_001_R1	0.941027	0.0216376	0.0166853
OUN_HK081_001_R1	0.947127	0.0184756	0.015952
OUN_HK112_001_R1	0.92694	0.0341326	0.0212528
OUN_HK116_001_R1	0.950308	0.01793	0.0141209
OUN_HK124_001_R1	0.940303	0.0305964	0.013112
OUN_HK137_001_R1	0.941844	0.0259343	0.0169187
RGP_248_3	0.920888	0.0315669	0.0220553
RGP_273_3_R1	0.951563	0.020682	0.0115631
RGP_54_3_2	0.949707	0.0179169	0.0141246
RGP_56_3_3	0.939797	0.0196813	0.0209922
RGP_7_1_2	0.945382	0.0255409	0.0132541
RGP_7_2_2	0.942591	0.0302456	0.0107443
RGP_7_3_2	0.935575	0.0301471	0.018382
RGP_7_5_2	0.94285	0.028669	0.0124977
RGP_800_3_2	0.952257	0.0178575	0.00953506
RGP_94_3_2	0.832552	0.0731294	0.0258304
RGP_94_4_2	0.811608	0.0991308	0.0409969
RP-1118_MAN_1438-01-M1_R1_v2_RNA_OnPrem	0.92779	0.0370402	0.0179653
RP-1314_HK088-001	0.951859	0.0239128	0.0101412
RP-1314_HK088-001_2_v2_RNA_OnPrem	0.951859	0.0239128	0.0101412
RP-1418_BEG_1111-1	0.946548	0.0241931	0.0144437
RP-1418_BEG_1111-1_T1105_R1_v1_RNA_OnPrem	0.946548	0.0241931	0.0144437
RP-1418_BEG_1435-01	0.955548	0.0180971	0.0132428
RP-1418_BEG_1435-01_T1370_R1_v1_RNA_OnPrem	0.955548	0.0180971	0.0132428
RP-1512_HK060-0154	0.953295	0.0171589	0.0100534
RP-1512_HK060-0154_R1_v1_RNA_OnPrem	0.953295	0.0171589	0.0100534
RP-1903_HK-006	0.956565	0.0242625	0.00843385
RP-1903_HK-006_R2_v1_RNA_OnPrem	0.956565	0.0242625	0.00843385
RP-1903_HK-010	0.953866	0.0262621	0.00901409
RP-1903_HK-010_R2_v1_RNA_OnPrem	0.953866	0.0262621	0.00901409
RP-1903_HK-015	0.956395	0.0235073	0.00975179
RP-1903_HK-015_R2_v1_RNA_OnPrem	0.956395	0.0235073	0.00975179
RP-1903_HK-022	0.952797	0.027221	0.00958887
RP-1903_HK-022_R2_v1_RNA_OnPrem	0.952797	0.027221	0.00958887
RP-1903_HK-025	0.926535	0.048382	0.00891166
RP-1903_HK-025_R2_v1_RNA_OnPrem	0.926535	0.048382	0.00891166
RP-1903_HK-032	0.951587	0.0284065	0.0085292
RP-1903_HK-032_R2_v1_RNA_OnPrem	0.951587	0.0284065	0.0085292
RP-1903_HK-035	0.956604	0.0244281	0.00854661
RP-1903_HK-035_R2_v1_RNA_OnPrem	0.956604	0.0244281	0.00854661
RP-1903_HK-047	0.955285	0.024821	0.00899143
RP-1903_HK-047_R2_v1_RNA_OnPrem	0.955285	0.024821	0.00899143
RP-1903_HK-061	0.957931	0.0230999	0.00917633
RP-1903_HK-061_R2_v1_RNA_OnPrem	0.957931	0.0230999	0.00917633
RP-1903_HK-070	0.949864	0.0259483	0.0126128
RP-1903_HK-070_R2_v1_RNA_OnPrem	0.949864	0.0259483	0.0126128
RP-1903_HK-071-001	0.954786	0.0239728	0.0103464
RP-1903_HK-071-001_R2_v2_RNA_OnPrem	0.954786	0.0239728	0.0103464
RP-1903_HK-071-004	0.953609	0.0233528	0.011182
RP-1903_HK-071-004_R2_v1_RNA_OnPrem	0.953609	0.0233528	0.011182
RP-1903_HK-073	0.956486	0.0237306	0.00952793
RP-1903_HK-073_R2_v1_RNA_OnPrem	0.956486	0.0237306	0.00952793
RP-1903_HK-075	0.95476	0.0256828	0.00930857
RP-1903_HK-075_R2_v1_RNA_OnPrem	0.95476	0.0256828	0.00930857
RP-1903_HK-081	0.957295	0.0230904	0.00888048
RP-1903_HK-081_R2_v1_RNA_OnPrem	0.957295	0.0230904	0.00888048
RP-1903_HK-085	0.961251	0.0202791	0.00873005
RP-1903_HK-085_R2_v2_RNA_OnPrem	0.961251	0.0202791	0.00873005
RP-1903_HK-087	0.959076	0.0224016	0.00825787
RP-1903_HK-087_R2_v1_RNA_OnPrem	0.959076	0.0224016	0.00825787
RP-1903_HK-095	0.9471	0.0274345	0.00942577
RP-1903_HK-095_R2_v1_RNA_OnPrem	0.9471	0.0274345	0.00942577
RP-1903_HK-100	0.935593	0.0414016	0.00812352
RP-1903_HK-100_R2_v2_RNA_OnPrem	0.935593	0.0414016	0.00812352
RP-1903_HK-104	0.958692	0.0215786	0.00985771
RP-1903_HK-104_R2_v1_RNA_OnPrem	0.958692	0.0215786	0.00985771
RP-1903_HK-107	0.950837	0.0286355	0.0092945
RP-1903_HK-107_R2_v1_RNA_OnPrem	0.950837	0.0286355	0.0092945
RP-1903_HK-108	0.947619	0.031691	0.00921004
RP-1903_HK-108_R2_v1_RNA_OnPrem	0.947619	0.031691	0.00921004
RP-1903_HK-114	0.948251	0.0270798	0.0136356
RP-1903_HK-114_R2_v1_RNA_OnPrem	0.948251	0.0270798	0.0136356
RP-1903_HK-115	0.952462	0.027218	0.00876193
RP-1903_HK-115_R2_v1_RNA_OnPrem	0.952462	0.027218	0.00876193
RP-1903_HK-116	0.955723	0.0251306	0.00818591
RP-1903_HK-116_R2_v1_RNA_OnPrem	0.955723	0.0251306	0.00818591
RP-1903_HK-119	0.959192	0.0217851	0.00858968
RP-1903_HK-119_R2_v1_RNA_OnPrem	0.959192	0.0217851	0.00858968
RP-1903_HK-124	0.955925	0.0247511	0.00892247
RP-1903_HK-124_R2_v1_RNA_OnPrem	0.955925	0.0247511	0.00892247
RP-1903_HK-126	0.952992	0.0276027	0.00839933
RP-1903_HK-126_R2_v1_RNA_OnPrem	0.952992	0.0276027	0.00839933
RP-1903_HK-127	0.95646	0.025086	0.00795079
RP-1903_HK-127_R2_v1_RNA_OnPrem	0.95646	0.025086	0.00795079
RP-1903_HK-131	0.950552	0.0281738	0.0100206
RP-1903_HK-131_R2_v1_RNA_OnPrem	0.950552	0.0281738	0.0100206
RP-1903_HK-133	0.954685	0.0228269	0.0115575
RP-1903_HK-133_R2_v1_RNA_OnPrem	0.954685	0.0228269	0.0115575
RP-1903_HK-134	0.90787	0.0646849	0.0101033
RP-1903_HK-134_R2_v1_RNA_OnPrem	0.90787	0.0646849	0.0101033
RP-1903_HK-139	0.959089	0.0224385	0.00859029
RP-1903_HK-139_R2_v1_RNA_OnPrem	0.959089	0.0224385	0.00859029
RP-1903_HK006_0016	0.936658	0.0349039	0.0150757
RP-1903_HK006_0016_R1_v1_RNA_OnPrem	0.936658	0.0349039	0.0150757
RP-1903_HK010_0026	0.939274	0.0353836	0.0120399
RP-1903_HK010_0026_R1_v3_RNA_OnPrem	0.939274	0.0353836	0.0120399
RP-1903_HK011_0029	0.944987	0.0208137	0.0238274
RP-1903_HK011_0029_R1_v1_RNA_OnPrem	0.944987	0.0208137	0.0238274
RP-1903_HK024_0065	0.939909	0.0230535	0.0266797
RP-1903_HK024_0065_R1_v1_RNA_OnPrem	0.939909	0.0230535	0.0266797
RP-1903_HK028_0073	0.953625	0.0190849	0.0180238
RP-1903_HK028_0073_R1_v1_RNA_OnPrem	0.953625	0.0190849	0.0180238
RP-1903_HK044_0109	0.953832	0.023436	0.0128452
RP-1903_HK044_0109_R1_v1_RNA_OnPrem	0.953832	0.023436	0.0128452
RP-1903_HK085-001	0.943253	0.0319532	0.0110605
RP-1903_HK085-001_R1_v3_RNA_OnPrem	0.943253	0.0319532	0.0110605
RP-1903_HK101-001	0.953173	0.0193717	0.0159235
RP-1903_HK101-001_R1_v2_RNA_OnPrem	0.953173	0.0193717	0.0159235
RP-1903_HK106-001	0.946231	0.0212126	0.0217629
RP-1903_HK106-001_R1_v1_RNA_OnPrem	0.946231	0.0212126	0.0217629
RP-1903_OUN_HK018_0047	0.921524	0.0351542	0.0270856
RP-1903_OUN_HK018_0047_R1_v2_RNA_OnPrem	0.921524	0.0351542	0.0270856
RP-1903_OUN_HK047_0116	0.94844	0.0190009	0.0134212
RP-1903_OUN_HK047_0116_R1_v2_RNA_OnPrem	0.94844	0.0190009	0.0134212
RP-1903_OUN_HK079_001	0.950591	0.0152071	0.0156903
RP-1903_OUN_HK079_001_R1_v2_RNA_OnPrem	0.950591	0.0152071	0.0156903
RP-1903_OUN_HK080_001	0.941027	0.0216376	0.0166853
RP-1903_OUN_HK080_001_R1_v2_RNA_OnPrem	0.941027	0.0216376	0.0166853
RP-1903_OUN_HK081_001	0.947127	0.0184756	0.015952
RP-1903_OUN_HK081_001_R1_v2_RNA_OnPrem	0.947127	0.0184756	0.015952
RP-1903_OUN_HK112_001	0.92694	0.0341326	0.0212528
RP-1903_OUN_HK112_001_R1_v2_RNA_OnPrem	0.92694	0.0341326	0.0212528
RP-1903_OUN_HK116_001	0.950308	0.01793	0.0141209
RP-1903_OUN_HK116_001_R1_v2_RNA_OnPrem	0.950308	0.01793	0.0141209
RP-1903_OUN_HK124_001	0.940303	0.0305964	0.013112
RP-1903_OUN_HK124_001_R1_v1_RNA_OnPrem	0.940303	0.0305964	0.013112
RP-1903_OUN_HK137_001	0.941844	0.0259343	0.0169187
RP-1903_OUN_HK137_001_R1_v2_RNA_OnPrem	0.941844	0.0259343	0.0169187
RP-2034_RGP_552_3	0.930109	0.0234858	0.0258481
RP-2034_RGP_552_3_R1_v1_RNA_OnPrem	0.930109	0.0234858	0.0258481
RP-2034_RGP_554_3	0.827841	0.101857	0.0319821
RP-2034_RGP_554_3_2_v1_RNA_OnPrem	0.827841	0.101857	0.0319821
RP-2034_RGP_800_3_2_v2_RNA_OnPrem	0.952257	0.0178575	0.00953506
RP-2073_193CP_LS_R1_v3_RNA_OnPrem	0.905044	0.0525964	0.0211894
RP-2073_92AI_SM_R1_v2_RNA_OnPrem	0.875034	0.0684202	0.0215083
RP-2073_INMR_GB_408_R1_v2_RNA_OnPrem	0.881894	0.0674043	0.0264367
RP-2073_INMR_GI_456_R1_v2_RNA_OnPrem	0.922213	0.0409168	0.0171831
RP-2073_INMR_HW_389_R1_v3_RNA_OnPrem	0.875701	0.0729147	0.0240378
RP-2073_INMR_HZ_401_R1_v3_RNA_OnPrem	0.911328	0.0479593	0.0193904
RP-2073_INMR_IG_561_R1_v3_RNA_OnPrem	0.897913	0.0575284	0.0216104
RP-2073_INMR_IK_581_R1_v3_RNA_OnPrem	0.852345	0.0893886	0.0323958
RP-2073_INMR_IV_615_R1_v3_RNA_OnPrem	0.902039	0.0610557	0.0196196
SRPK3_EM__1	0.95497	0.0191934	0.00987708
SRPK3_JAP_1	0.961202	0.0150638	0.00836284
SRPK3_USA_1	0.940979	0.0242851	0.0159612
SWE_36223_1	0.892397	0.0512965	0.0397618
SWE_36326_1	0.91328	0.0451022	0.0254103
T1244	0.885894	0.0663651	0.0290301
T238	0.921504	0.0381445	0.0211197
T757	0.845359	0.0977113	0.0318549
T850	0.879567	0.0700052	0.0312419
T892	0.91072	0.0485618	0.026977
TOP_MAAC031_F_Muscle1	0.90604	0.0415724	0.0227884
UC223-1RNA	0.899327	0.0533816	0.0267043
UC305-1M	0.927821	0.0208016	0.0260062
UC316-1M	0.908256	0.0502851	0.0200468
UC368-1M	0.899772	0.0467786	0.0195693
UC393-1M	0.921058	0.028721	0.0341215
UC84-1RNA	0.932047	0.030919	0.0227656
UWA_FAM7_PT_D16-1243_2	0.91327	0.0359192	0.032595
VCGS_DLS_FAM1_1_R1	0.938722	0.0311386	0.0156258
VCGS_FAM11_32_2	0.905039	0.0562383	0.0203307
VCGS_FAM12_36_2	0.885645	0.0529621	0.044208
VCGS_FAM147_459_2	0.954636	0.0216841	0.010482
VCGS_FAM148_462_2	0.942098	0.0339692	0.00945504
VCGS_FAM149_465_2	0.933472	0.0348763	0.0162489
VCGS_FAM150_468_2	0.945586	0.0290911	0.0110705
VCGS_FAM1_1_2	0.917508	0.043693	0.0202353
VCGS_FAM22_69_2	0.911611	0.0484568	0.017628
VCGS_FAM26_81_2	0.88221	0.0734526	0.0207
VCGS_FAM27_84_2	0.945263	0.025563	0.0170145
VCGS_FAM29_90_R1	0.936053	0.0287927	0.0232251
VCGS_FAM2_4_2	0.948714	0.0266339	0.0104689
VCGS_FAM31_97_2	0.910973	0.0429484	0.0312943
VCGS_FAM39_123_R1	0.936561	0.0279977	0.0255784
VCGS_FAM3_7_2	0.934926	0.0379682	0.0124023
VCGS_FAM41_129_2	0.902381	0.0501895	0.0299488
VCGS_FAM42_132_2	0.940001	0.0290684	0.0180669
VCGS_FAM49_153_R1	0.940321	0.029194	0.0207463
VCGS_FAM4_13_2	0.897951	0.0599216	0.0219728
VCGS_FAM52_162_3	0.946417	0.0264866	0.0135339
VCGS_FAM58_181_R1	0.951671	0.0228005	0.0141613
VCGS_FAM61_190_R1	0.945246	0.027093	0.0174141
VCGS_FAM67_209_R1	0.947075	0.0244851	0.0178924
VCGS_FAM73_227_2	0.933271	0.0380618	0.0127615
VCGS_FAM84_260_R1	0.94939	0.0252508	0.014923
VIL_17_097	0.948877	0.0206336	0.00996269
VIL_17_098	0.939367	0.0291984	0.0127524
VIL_17_099	0.944846	0.0225213	0.0120557
VIL_17_105	0.94988	0.0212136	0.0114187
VIL_17_106	0.945327	0.0254251	0.0120596
VIL_17_107	0.947258	0.0224538	0.0115085
VIL_17_110	0.930017	0.0359392	0.0144107
VIL_17_111	0.948735	0.0231197	0.0109736
VIL_17_120	0.946032	0.0248038	0.0121785
VIL_17_121	0.945733	0.0234978	0.0122204
VIL_17_141	0.94297	0.0273193	0.013973
VIL_17_150	0.941903	0.0260921	0.0143044
VIL_17_151	0.945669	0.0221096	0.0143552
VIL_17_152	0.944581	0.0233094	0.0140022
VIL_17_163	0.942066	0.0226626	0.0109114
VIL_17_164	0.945858	0.0229242	0.0123741
VIL_18_045	0.944263	0.0245586	0.0151119
VIL_18_046	0.946894	0.0220591	0.0125843
VIL_18_061	0.942629	0.0201978	0.0149083
VIL_18_120	0.949829	0.0179355	0.0126044
