Sample	Exonic	Intronic	Intergenic
LIA_TIS03_2	0.874292	0.0779948	0.0283072
MAN_1001_01_M1_D1	0.944777	0.0236369	0.0144437
MAN_1438-01-M1	0.92779	0.0370402	0.0179653
MBEL028_001_3	0.957299	0.0181459	0.00890255
MBEL028_002_1	0.959423	0.0145728	0.00925047
MBRU030_2	0.950486	0.023967	0.0114002
MCOP008_001_2	0.949077	0.020304	0.00947867
MESP021_001_2	0.957315	0.0165179	0.00966207
MESP039_2	0.951163	0.0198103	0.0107738
MGLA003_001_2	0.9576	0.0157667	0.00887008
MMAD002_001_2	0.955305	0.0165414	0.0100285
MTEH041_001_2	0.937501	0.0316791	0.0125878
M_0146-01-H1	0.876885	0.068782	0.0185477
NH11-441	0.908903	0.0532457	0.0188779
NH12-1413	0.905032	0.0531597	0.0220999
OUN_HK018_0047	0.921524	0.0351542	0.0270856
OUN_HK047_0116	0.94844	0.0190009	0.0134212
OUN_HK079_001	0.950591	0.0152071	0.0156903
OUN_HK080_001	0.941027	0.0216376	0.0166853
OUN_HK081_001	0.947127	0.0184756	0.015952
OUN_HK112_001	0.92694	0.0341326	0.0212528
OUN_HK116_001	0.950308	0.01793	0.0141209
OUN_HK124_001	0.940303	0.0305964	0.013112
OUN_HK137_001	0.941844	0.0259343	0.0169187
RGP_248_3	0.920888	0.0315669	0.0220553
RGP_273_3	0.951563	0.020682	0.0115631
RGP_54_3_2	0.949707	0.0179169	0.0141246
RGP_552_3	0.930109	0.0234858	0.0258481
RGP_56_3_3	0.939797	0.0196813	0.0209922
RGP_800_3_2	0.952257	0.0178575	0.00953506
RGP_800_3_3	0.948126	0.0212012	0.0120695
SRPK3_EM__1	0.95497	0.0191934	0.00987708
SRPK3_JAP_1	0.961202	0.0150638	0.00836284
SRPK3_USA_1	0.940979	0.0242851	0.0159612
T1244	0.885894	0.0663651	0.0290301
T238	0.921504	0.0381445	0.0211197
T850	0.879567	0.0700052	0.0312419
T892	0.91072	0.0485618	0.026977
TOP_MAAC031_F_Muscle1	0.90604	0.0415724	0.0227884
UC223-1RNA	0.899327	0.0533816	0.0267043
UC305-1M	0.927821	0.0208016	0.0260062
UC316-1M	0.908256	0.0502851	0.0200468
UC368-1M	0.899772	0.0467786	0.0195693
UC393-1M	0.921058	0.028721	0.0341215
UC84-1RNA	0.932047	0.030919	0.0227656
UWA_FAM7_PT_D16-1243_2	0.91327	0.0359192	0.032595
